P317=-95.1237,-19.8660,33.9362,-34.8459,-206.1302,;
P318=-95.1237,-18.7825,32.8028,-33.4995,-209.1779,;
P319=-95.1237,-17.6991,31.6694,-32.1530,-212.2256,;
P320=-95.1237,-16.6156,30.5360,-30.8066,-215.2733,;
P321=-95.1237,-15.5322,29.4026,-29.4601,-218.3210,;
P322=-95.1237,-14.4487,28.2693,-28.1137,-221.3687,;
P323=-95.1237,-13.3653,27.1359,-26.7672,-224.4164,;
P324=-95.1237,-12.2818,26.0025,-25.4208,-227.4641,;
P325=-95.1237,-11.1983,24.8691,-24.0743,-230.5118,;
P326=-95.1237,-10.2052,23.8302,-22.8401,-233.3055,;
P327=-95.1237,-9.2120,22.7913,-21.6058,-236.0992,;
P328=-95.1237,-8.3994,21.9412,-20.5960,-238.3850,;
P329=-95.1237,-7.5868,21.0912,-19.5862,-240.6708,;
P330=-95.1237,-6.8645,20.3356,-18.6885,-242.7025,;
P331=-95.1237,-6.1422,19.5800,-17.7909,-244.7343,;
P332=-95.1237,-5.4199,18.8245,-16.8933,-246.7661,;
P333=-95.1237,-4.6976,18.0689,-15.9956,-248.7979,;
P334=-95.1237,-3.9753,17.3133,-15.0980,-250.8297,;
P335=-95.1237,-3.2530,16.5577,-14.2004,-252.8615,;
P336=-95.1237,-2.5307,15.8021,-13.3027,-254.8933,;
P337=-95.1237,-3.7997,16.1927,-12.4243,-254.8928,;
P338=-95.1237,-5.0274,16.4947,-11.4986,-254.8922,;
P339=-95.1237,-6.2136,16.7091,-10.5267,-254.8916,;
P340=-95.1237,-7.3580,16.8367,-9.5100,-254.8911,;
P341=-95.1237,-8.4600,16.8782,-8.4495,-254.8905,;
P342=-95.1232,-9.5190,16.8335,-7.3459,-254.8905,;
P343=-95.1226,-10.5340,16.7026,-6.1999,-254.8905,;
P344=-95.1220,-11.5041,16.4849,-5.0121,-254.8905,;
P345=-95.1215,-12.4281,16.1797,-3.7829,-254.8905,;
P346=-95.1209,-13.3047,15.7857,-2.5123,-254.8905,;
P347=-91.9206,-15.0391,19.0055,-3.9972,-254.8905,;
P348=-88.7202,-16.7734,22.2254,-5.4821,-254.8905,;
P349=-85.5199,-18.5078,25.4452,-6.9670,-254.8905,;
P350=-82.3196,-20.2422,28.6651,-8.4519,-254.8905,;
P351=-79.1192,-21.9765,31.8849,-9.9368,-254.8905,;
P352=-75.9189,-23.7109,35.1048,-11.4217,-254.8905,;
P353=-72.7186,-25.4453,38.3246,-12.9066,-254.8905,;
P354=-69.5182,-27.1797,41.5445,-14.3915,-254.8905,;
P355=-66.3179,-28.9140,44.7644,-15.8764,-254.8905,;
P356=-63.1176,-30.6484,47.9842,-17.3613,-254.8905,;
P357=-59.9172,-32.3828,51.2041,-18.8462,-254.8905,;
P358=-56.7169,-34.1171,54.4239,-20.3310,-254.8905,;
P359=-53.5165,-35.8515,57.6438,-21.8159,-254.8905,;
P360=-53.5171,-34.6084,57.9452,-23.3604,-254.8905,;
P361=-53.5176,-33.3253,58.1800,-24.8783,-254.8905,;
P362=-53.5182,-32.0037,58.3481,-26.3680,-254.8905,;
P363=-53.5187,-30.6454,58.4495,-27.8278,-254.8905,;
P364=-53.5193,-29.2519,58.4842,-29.2560,-254.8905,;
MOVJ P1, V70, Z1;
MOVJ P2, V70, Z1;
MOVJ P3, V70, Z1;
MOVJ P4, V70, Z1;
MOVJ P5, V70, Z1;
MOVJ P6, V70, Z1;
MOVJ P7, V70, Z1;
MOVJ P8, V70, Z1;
MOVJ P9, V70, Z1;
MOVJ P10, V70, Z1;
MOVJ P11, V70, Z1;
MOVJ P12, V70, Z1;
MOVJ P13, V70, Z1;
MOVJ P14, V70, Z1;
MOVJ P15, V70, Z1;
MOVJ P16, V70, Z1;
MOVJ P17, V70, Z1;
MOVJ P18, V70, Z1;
MOVJ P19, V70, Z1;
MOVJ P20, V70, Z1;
MOVJ P21, V70, Z1;
MOVJ P22, V70, Z1;
MOVJ P23, V70, Z1;
MOVJ P24, V70, Z1;
MOVJ P25, V70, Z1;
MOVJ P26, V70, Z1;
MOVJ P27, V70, Z1;
MOVJ P28, V70, Z1;
MOVJ P29, V70, Z1;
MOVJ P30, V70, Z1;
MOVJ P31, V70, Z1;
MOVJ P32, V70, Z1;
MOVJ P33, V70, Z1;
MOVJ P34, V70, Z1;
MOVJ P35, V70, Z1;

MOVJ P36, V70, Z1;
MOVJ P37, V70, Z1;
MOVJ P38, V70, Z1;
MOVJ P39, V70, Z1;
MOVJ P40, V70, Z1;
MOVJ P41, V70, Z1;
MOVJ P42, V70, Z1;
MOVJ P43, V70, Z1;
MOVJ P44, V70, Z1;
MOVJ P45, V70, Z1;
MOVJ P46, V70, Z1;
MOVJ P47, V70, Z1;
MOVJ P48, V70, Z1;
MOVJ P49, V70, Z1;
MOVJ P50, V70, Z1;
MOVJ P51, V70, Z1;
MOVJ P52, V70, Z1;
MOVJ P53, V70, Z1;
MOVJ P54, V70, Z1;
MOVJ P55, V70, Z1;
MOVJ P56, V70, Z1;
MOVJ P57, V70, Z1;
MOVJ P58, V70, Z1;
MOVJ P59, V70, Z1;
MOVJ P60, V70, Z1;
MOVJ P61, V70, Z1;
MOVJ P62, V70, Z1;
MOVJ P63, V70, Z1;
MOVJ P64, V70, Z1;
MOVJ P65, V70, Z1;
MOVJ P66, V70, Z1;
MOVJ P67, V70, Z1;
MOVJ P68, V70, Z1;
MOVJ P69, V70, Z1;
MOVJ P70, V70, Z1;
MOVJ P71, V70, Z1;
MOVJ P72, V70, Z1;
MOVJ P73, V70, Z1;
MOVJ P74, V70, Z1;
MOVJ P75, V70, Z1;
MOVJ P76, V70, Z1;
MOVJ P77, V70, Z1;
MOVJ P78, V70, Z1;
MOVJ P79, V70, Z1;
MOVJ P80, V70, Z1;
MOVJ P81, V70, Z1;
MOVJ P82, V70, Z1;
MOVJ P83, V70, Z1;
MOVJ P84, V70, Z1;
MOVJ P85, V70, Z1;
MOVJ P86, V70, Z1;
MOVJ P87, V70, Z1;
